,Unnamed: 0.1,Unnamed: 0,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
669,2078,2078,03Mvf,6k1/pb1n2pp/1p1pN2q/8/2P1P3/1PN5/P3Q1PP/7K w - - 3 28,e2g4 d7e5 g4g5 h6e6 g5d8 g8f7,2256,77,90,439,advantage endgame long,https://lichess.org/TaR46fSH#55
674,2095,2095,03PD2,8/1kp5/p3p1p1/2Rp1qP1/3P1P1r/1P3K2/P2Q2P1/8 w - - 5 46,d2b4 b7a8 b4d2 f5g4 f3f2 h4h2,1833,239,100,9,crushing defensiveMove endgame long,https://lichess.org/TmyY7Avf#91
681,2133,2133,03Rui,2r3k1/pq1r1pbp/6p1/1PB2n2/2B5/PQ3P1P/5P2/2R1R1K1 w - - 1 25,c5b4 f5d4 b3d3 d4f3 d3f3 b7f3,1741,74,93,1111,crushing fork long middlegame,https://lichess.org/q91IuvgP#49
683,2138,2138,03SLJ,7k/4RN1P/1r6/6K1/8/8/8/1q6 b - - 1 56,h8g7 h7h8q,1694,78,90,5907,advancedPawn endgame mate mateIn1 oneMove promotion,https://lichess.org/l7BvBZgT/black#112
693,2162,2162,03VQT,6r1/1pp3k1/3p4/p2Pp1pP/2P1n1P1/P7/1P4K1/5R2 b - - 0 36,g8f8 h5h6 g7h6 f1f8,1227,77,88,1000,advantage deflection endgame short,https://lichess.org/abwnFv2V/black#72
694,2165,2165,03VaO,1kr5/1p3ppp/p5b1/P1Npr3/1R4P1/7P/1P3P2/2R3K1 b - - 3 27,e5e7 c5a6 b8a7 c1c8,1523,124,75,29,crushing deflection discoveredAttack endgame pin queensideAttack short,https://lichess.org/kWrLOTxy/black#54
698,2175,2175,03Wsp,r5r1/p2k1p1p/2pb4/6q1/4Q1b1/P3P3/1PPP1PPP/RNB2RK1 w - - 1 21,b1c3 d6h2 g1h2 g5h5 h2g1 g4f3 e4f3 h5f3,2342,98,69,32,attraction crushing kingsideAttack middlegame pin sacrifice veryLong,https://lichess.org/69anHdhy#41
700,2186,2186,03XXf,3k4/p1p3p1/2Q5/2b1pP2/2P3q1/1PN2nP1/PB2N2r/3K4 w - - 0 24,c6c5 h2h1 d1c2 g4f5 c3e4 f5e4,2103,77,85,217,crushing exposedKing long middlegame,https://lichess.org/KrVpjs9U#47
702,2194,2194,03YED,1q2r1k1/5pb1/4b1pp/3N4/1BPn1PP1/7P/Q6K/1R2R3 b - - 0 33,e6d5 b4d6 e8e2 e1e2 b8d6 e2e8 g8h7 c4d5 d6f4 h2h1,2200,476,-100,8,advantage defensiveMove middlegame veryLong,https://lichess.org/65on2AhX/black#66
706,2222,2222,03bsw,r7/pbp1r1k1/1p2pbp1/2P5/Q7/4B3/Pq3PPP/R3R1K1 b - - 3 20,b2e5 e3h6 g7h6 e1e5,1368,80,84,91,advantage discoveredAttack middlegame short,https://lichess.org/X6nW6Ref/black#40
710,2231,2231,03cgK,3r3k/p5p1/R3B2p/8/1B1Npb2/7P/P4PP1/6K1 w - - 0 33,d4e2 d8d1 b4e1 d1e1,629,83,79,565,endgame mate mateIn2 short,https://lichess.org/MfP4G4WV#65
711,2238,2238,03d8i,rq5r/2pkb3/p2p4/3Qp3/N3P3/P3R1p1/RPP3P1/6K1 w - - 2 25,e3g3 b8a7 a4c5 a7c5 d5c5 d6c5,1714,76,86,65,advantage long middlegame,https://lichess.org/a5r1FVfH#49
717,2257,2257,03etK,r4r2/pR6/3p4/2b3Bp/NkB1P1bP/1P4p1/P5P1/n6K b - - 0 26,b4a3 g5c1 a3a2 a4c3,1927,77,97,5964,mate mateIn2 middlegame short,https://lichess.org/593garCQ/black#52
725,2268,2268,03fz5,8/p1bqr1kp/3N1pp1/2PB4/3Q1P1P/6Pb/P1R4K/8 w - - 0 40,d6e4 e7e4 d4e4 h3f5 e4c4 f5c2 c4c2 d7d5,1956,74,95,7892,advantage middlegame sacrifice skewer veryLong,https://lichess.org/rI8Lnrtk#79
726,2276,2276,03h56,6k1/7p/4pppP/3r4/2p5/2Q5/6P1/6RK w - - 3 38,c3c4 d5h5 c4h4 h5h4,899,101,89,611,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/KRJpwNY8#75
732,2289,2289,03iNA,4q1k1/ppp2p1p/2np4/3Qb1pN/2P5/6BP/P5P1/7K b - - 1 28,e5g3 h5f6 g8f8 f6e8,1330,76,86,228,advantage endgame fork short,https://lichess.org/RwW78rDF/black#56
738,2313,2313,03leN,1k1r3r/1ppbqp2/B2pp3/Q5b1/4P3/R7/PPP3P1/1K1R4 b - - 0 21,d7c6 a6b5 b8c8 a5a8 c8d7 a8b7,1654,335,67,3,crushing deflection long middlegame pin queensideAttack,https://lichess.org/iggO5Ql2/black#42
744,2326,2326,03nUA,8/8/p6p/2p1k1p1/P3P1P1/4K3/1P6/8 b - - 0 39,c5c4 a4a5 e5e6 e3d4 h6h5 g4h5,1563,75,92,2717,crushing endgame long pawnEndgame quietMove zugzwang,https://lichess.org/rKzlkQJw/black#78
749,2341,2341,03owL,5kr1/2q2pp1/5b2/3RnP2/4PB2/1r5P/1p2B1Q1/1K4R1 w - - 0 32,g2h2 c7a7 f4e5 a7a1 b1c2 b2b1q,2282,80,89,1113,advancedPawn crushing exposedKing long middlegame promotion sacrifice,https://lichess.org/ASbl9n4u#63
756,2373,2373,03sEM,r2q1rk1/1p1n1ppp/p7/3N4/3Q1B2/3b1N1P/PP4P1/R5K1 b - - 1 21,d3g6 f4c7 d8e8 a1e1 e8e1 f3e1,1896,75,88,107,advantage long middlegame,https://lichess.org/0QPTOQOT/black#42
762,2395,2395,03ua1,8/4k2p/1p4p1/p3Pp2/2qpnP1P/P3QNP1/1P4K1/8 w - - 0 41,e3d4 c4e2 g2g1 e2f3,1665,74,91,388,crushing deflection endgame short,https://lichess.org/IY3TQNKo#81
775,2448,2448,03zSt,r4r1k/1pqbp2n/2p3Q1/p2pN3/P2P3R/1PP1P2P/6P1/R5K1 b - - 4 24,d7f5 h4h7,1620,89,89,271,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/rLn7vfiQ/black#48
776,2449,2449,03zZM,6k1/pp3ppp/8/2n3q1/8/1PPp1PP1/P2Nr1N1/R1Q3K1 w - - 0 27,d2e4 c5e4 c1g5 e4g5,1602,77,93,5096,crushing middlegame short,https://lichess.org/2pXdbbRx#53
783,2482,2482,042tk,7k/pp2Q2p/7P/5p2/8/1P4q1/P2p4/3R2K1 w - - 0 35,g1f1 g3f3 f1g1 f3d1 g1f2 d1e1,1810,76,89,2116,crushing endgame exposedKing fork long,https://lichess.org/W9P8nuKa#69
803,2546,2546,049fn,2R3k1/4r1p1/p2p1n1p/1p1PpQ2/4P3/4q3/PP2B1PP/7K b - - 1 27,g8f7 e2h5 g7g6 f5g6,1452,91,56,33,endgame mate mateIn2 short,https://lichess.org/bVYzLiMM/black#54
809,2556,2556,04Az3,4r1k1/1p3pp1/p5r1/2P4p/4P3/P2PQNq1/8/R3RK2 w - - 2 32,e3f2 g3h3 f1e2 g6g2 e2e3 g2f2,1342,76,99,1401,clearance crushing long middlegame pin,https://lichess.org/qpm1voJ6#63
811,2560,2560,04BOH,r3r1k1/pp3p1p/2p3p1/5nB1/6P1/P4Q1P/1qP5/R4R1K b - - 0 22,f5d6 a1d1 e8e6 d1d6 e6d6 f3f7 g8h8 f7e7,2576,80,94,91,crushing middlegame veryLong,https://lichess.org/p0jHij7o/black#44
821,2591,2591,04GZH,rnb2rk1/pp3p1p/6pB/q7/2p5/4P3/P2NBPPP/Q3K2R b K - 1 15,f8d8 a1g7,1487,482,100,1,mate mateIn1 oneMove,https://lichess.org/9XMRqfeQ/black#30
823,2600,2600,04HSJ,4r3/p5k1/1p1p1p2/2pP1Pp1/2P1P1Pr/2P5/P5KP/4RR2 w - - 0 37,e1e3 h4g4,1025,92,92,202,advantage endgame oneMove rookEndgame,https://lichess.org/2o9Ywuu1#73
826,2606,2606,04HsY,2r5/p4pk1/1p2pqp1/3b4/6Q1/1Pr3N1/P4PPP/1R3RK1 b - - 6 26,c3c2 g3h5 g7f8 h5f6,1157,75,96,2913,crushing middlegame pin short,https://lichess.org/bgPsxSvn/black#52
829,2615,2615,04J4e,8/5p1k/q5p1/2pN4/2P1QP1p/4P2P/6PK/4b3 w - - 3 31,e4e7 e1g3 h2g1 a6a1,1127,77,83,49,endgame mate mateIn2 short,https://lichess.org/XsnPdYCf#61
830,2617,2617,04JNB,4r3/1R3p2/4pk2/6p1/4P1P1/8/5K2/8 b - - 9 53,e8e7 e4e5 f6e5 b7e7,1348,91,81,55,crushing deflection endgame rookEndgame short,https://lichess.org/7QedBIch/black#106
831,2622,2622,04JfE,r2qr1k1/5pb1/1p1p1n2/p2P1QBp/7R/P1N4P/1PP3PN/6K1 w - - 1 23,h4h5 f6h5 g5d8 g7d4,2353,75,91,3616,crushing middlegame sacrifice short,https://lichess.org/92uvPtYe#45
833,2628,2628,04KSC,8/7k/4p3/p7/P6p/8/1PP1K3/8 b - - 0 45,e6e5 e2f3 h7g6 f3g4 e5e4 g4h4,2658,81,93,515,crushing endgame long master pawnEndgame,https://lichess.org/XDphDRKz/black#90
834,2639,2639,04LlM,8/8/k7/P7/2p1N1p1/6Kp/8/8 w - - 8 59,g3g4 h3h2 e4f2 c4c3,1356,76,85,81,advancedPawn crushing endgame knightEndgame master short,https://lichess.org/J77Gux1X#117
840,2658,2658,04Nk6,2b2r1k/p5bp/1p4p1/2p3q1/4p3/P1P1P1P1/BP1BQ2P/5RK1 b - - 8 23,c8g4 f1f8 g7f8 e2c4,1592,75,94,9643,crushing middlegame short,https://lichess.org/J6J5BYP9/black#46
841,2661,2661,04O0s,8/8/3k1P2/2r5/1p2PK2/1B6/8/8 b - - 0 53,c5c3 e4e5 d6d7 e5e6 d7d6 e6e7 c3c8 b3f7,2666,87,87,233,advancedPawn clearance crushing endgame exposedKing veryLong,https://lichess.org/A9kDi12L/black#106
853,2691,2691,04Qwc,3r3k/1bq3n1/pp4B1/8/2p5/1P2Q2P/P2N2P1/7K b - - 1 35,d8d6 e3h6 h8g8 h6h7 g8f8 h7h8 f8e7 h8g7,1431,76,81,84,crushing deflection exposedKing interference middlegame veryLong,https://lichess.org/unnqh1mu/black#70
854,2698,2698,04Rwz,8/2B2k2/6p1/2n2p1p/5K1P/P5P1/8/8 w - - 7 44,f4g5 c5e6 g5h6 e6c7,1027,76,90,1111,crushing endgame fork short,https://lichess.org/YRKOirv3#87
858,2711,2711,04TQD,3r1rk1/pp2qpp1/2p1p2Q/8/8/1P4R1/6PP/5R1K b - - 0 29,g7g6 g3h3 f7f6 h6h8 g8f7 h3h7 f7e8 h7e7,1931,75,96,5659,crushing endgame quietMove skewer veryLong,https://lichess.org/lmDAzyCc/black#58
859,2720,2720,04UNx,5rr1/p6p/k1p5/2P5/2p1N3/2Qq4/PP3PPP/R5K1 w - - 11 23,a1c1 d3e4 c3c4 e4c4,1435,77,84,191,advantage endgame hangingPiece short,https://lichess.org/HsZAvwgl#45
876,2808,2808,04dHh,r4k2/pb2Rpp1/q2B1n1p/1p6/8/2PB4/P1Q2PPP/6K1 b - - 6 24,b7d5 e7e8 f8e8 c2e2 f6e4 d3b5,2389,87,90,1277,attraction crushing doubleCheck long middlegame pin sacrifice,https://lichess.org/dP8ECnjH/black#48
880,2819,2819,04eIu,Q5k1/5ppp/4p2b/rqp1P3/8/1PB1P3/2PP2PP/R5K1 b - - 0 26,a5a8 a1a8 b5b8 a8b8,600,99,67,182,backRankMate endgame mate mateIn2 short,https://lichess.org/Wr9BJ0Ag/black#52
894,2877,2877,04jW4,8/pp1knR1Q/8/8/2q1n3/8/PPPKN3/8 w - - 3 35,d2d1 c4d5 d1e1 d5d2 e1f1 d2d1 f1g2 d1e2,1689,73,91,2210,advantage deflection endgame veryLong,https://lichess.org/QxtlkMJQ#69
895,2884,2884,04jz1,5rk1/pb2Rppp/1p4q1/2n5/2BNnB2/2P5/PP1Q2PP/6K1 w - - 1 21,d2c2 g6f6 e7b7 f6f4 b7f7 f8f7,2193,155,82,17,crushing fork long middlegame,https://lichess.org/hsFno0lC#41
897,2897,2897,04l2y,8/p1R4p/p2p1ppk/3Pp3/1r2P3/5N2/5PPP/6K1 w - - 2 28,c7a7 b4b1 f3e1 b1e1,617,83,71,62,backRankMate endgame mate mateIn2 short,https://lichess.org/ON0VWuVt#55
899,2905,2905,04m0x,3qrb2/1R4pk/p5pp/8/2B5/PPB4P/6P1/5R1K b - - 0 38,e8e7 f1f8 d8f8 c3b4 e7e1 b4e1,1500,500,100,0,crushing long middlegame sacrifice,https://lichess.org/kmdTnj5Q/black#76
900,2906,2906,04m1I,2R5/5kp1/3r4/8/6P1/3rKPP1/2p5/2R5 w - - 2 48,e3f4 d6f6 f4e4 d3d1 c8c7 f7g6 c7g7 g6g7,2566,97,88,79,crushing endgame rookEndgame veryLong,https://lichess.org/sQFF8bUM#95
902,2928,2928,04oXW,4rQ2/3qP1pk/2p4p/2ppR1n1/7P/2P5/PP3PP1/6K1 b - - 0 32,g5e6 f8f5 h7g8 f5e6 d7e6 e5e6,2105,79,84,380,crushing endgame long,https://lichess.org/z0halPxY/black#64
906,2937,2937,04p9H,r1bq4/pp1pk1bN/8/5p2/5P2/2PB4/PP4P1/2KRR3 b - - 1 24,e7f7 d3c4 f7g6 d1d6,2254,77,80,210,crushing master middlegame short,https://lichess.org/RDzKiMPC/black#48
909,2958,2958,04qw9,5rk1/8/2b1p1p1/n6p/1Qp5/1P4PP/P4qB1/2R1R2K w - - 2 31,e1g1 f2g3 b4f8 g8f8,1976,75,94,3471,crushing master middlegame short,https://lichess.org/6ySiW0Zw#61
931,3036,3036,04yeU,2r2r1k/5p1P/3p1ppQ/p7/8/5NP1/1q3PK1/7R b - - 1 34,c8c2 h6f8,875,79,65,101,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/ghbp68zq/black#68
936,3050,3050,050ge,2r5/4R3/6k1/1p3Qp1/1P4P1/5NKP/6P1/6qr b - - 0 38,g6h6 f5g5,769,79,94,445,endgame mate mateIn1 oneMove,https://lichess.org/s7jPT9OZ/black#76
939,3060,3060,051He,8/6k1/2b5/6P1/2N4P/3r4/P4P1K/8 b - - 7 54,g7g6 c4e5 g6h5 e5d3,824,78,100,145,crushing endgame fork short,https://lichess.org/ZDJMtAjQ/black#108
949,3096,3096,053Un,2b1Q3/6kr/p7/3p4/2pP1q2/1P6/P4PP1/R1R2K2 w - - 2 32,e8c8 h7h1 f1e2 f4e4 e2d2 e4d3,1741,76,98,2361,endgame long mate mateIn3,https://lichess.org/lpsJkIhe#63
952,3110,3110,054kt,4r1k1/4qppp/p1p5/1p6/8/2P1Q2P/5PP1/4R1K1 b - - 0 40,e7d7 e3e8 d7e8 e1e8,686,124,67,14,backRankMate endgame mate mateIn2 short,https://lichess.org/4YjnyVxe/black#80
953,3111,3111,054x7,r2n4/pbp1N2k/1p2p2p/8/4P3/3B2R1/PPP5/1K6 b - - 7 27,h7h8 g3g8 h8h7 e4e5 b7e4 d3e4,1074,76,97,1417,discoveredAttack endgame exposedKing long mate mateIn3,https://lichess.org/lc6bnBNr/black#54
955,3120,3120,055gT,r5k1/5p2/5Bp1/p6p/2r4P/5pK1/P2R1P2/8 b - - 1 32,a8a6 d2d8 g8h7 d8h8,863,179,100,18,endgame mate mateIn2 short,https://lichess.org/jEYHCgdi/black#64
958,3123,3123,055m7,1r1nk2r/p2nbppp/8/4p3/Bp6/8/PPP2PPP/R1B1R1K1 b k - 6 16,e8g8 a4d7,1466,500,100,0,equality hangingPiece middlegame oneMove,https://lichess.org/hK9cVen0/black#32
960,3134,3134,056qd,1k5r/4bp1p/Q3p3/2N2p2/1q1r4/8/PP3PPP/R3R1K1 w - - 1 24,e1e3 b4c5 e3c3 h8d8 c3c5 d4d1 a1d1 d8d1 a6f1 d1f1 g1f1 e7c5,2670,94,77,156,advantage hangingPiece master middlegame quietMove sacrifice veryLong,https://lichess.org/H3wocQ3e#47
964,3138,3138,057C8,6RK/7P/8/6r1/8/4p3/8/7k b - - 1 78,g5e5 h8g7 e5g5 g7h6,2049,91,87,28,crushing defensiveMove endgame rookEndgame short,https://lichess.org/0mi27ZAK/black#156
998,3259,3259,05KVJ,8/2R2Bpp/5p1k/2b3r1/8/5r2/P4P1P/3R1K2 w - - 0 27,d1d5 f3f2 f1e1 g5g1,1320,76,93,2511,endgame mate mateIn2 short,https://lichess.org/DIRbVrbr#53
1009,3284,3284,05NJS,8/6k1/1RP5/RP1p1r1p/3P1r1K/8/7P/8 w - - 4 50,h4g3 f4g4 g3h3 f5f3,1583,78,68,75,endgame mate mateIn2 rookEndgame short,https://lichess.org/RJ9rJ4B4#99
1014,3298,3298,05OmH,2kN4/2p3p1/1p6/pP1PPQ2/4n3/8/4K1P1/2q2B1r b - - 12 45,c8d8 f5f8 d8d7 e5e6,1580,137,100,33,endgame mate mateIn2 short,https://lichess.org/LVxRp7b8/black#90
1015,3299,3299,05Oo5,8/3n4/3k4/p7/1pPK1p2/1P3B2/P7/8 b - - 3 44,d7e5 c4c5 d6e6 f3d5,1313,77,80,1092,crushing endgame master short,https://lichess.org/uFsRKg4O/black#88
1039,3410,3410,05bAj,Q4bk1/5ppp/2p2n2/p1Pp4/8/1r2PN2/1B3PPP/q5K1 w - - 0 26,b2a1 b3b1 f3e1 b1e1,655,92,74,242,backRankMate endgame fork mate mateIn2 short,https://lichess.org/XWVd0Pwt#51
1040,3412,3412,05bFg,1k4rr/p7/1p1q4/4p1p1/3nQ1P1/5P2/PP3BKp/3R3B b - - 1 31,d6c7 d1d4 e5d4 f2g3,1864,78,79,40,advantage master middlegame pin sacrifice short,https://lichess.org/7NoXEAtl/black#62
1058,3464,3464,05gV5,2kr3r/p1p1qppp/Qpn5/2N2P2/3P4/2P1p2B/PP3n2/R3K2R b KQ - 1 21,c8b8 a6b7,1002,93,94,162,mate mateIn1 middlegame oneMove,https://lichess.org/FSe8GzhX/black#42
1060,3470,3470,05hHu,2q2rk1/1b3p2/p3p1pp/np1nP3/3P4/P2Q1N2/5PPP/1BB2RK1 b - - 1 20,g8g7 d3d2 f8h8 d2a5,2046,74,86,193,advantage middlegame short,https://lichess.org/NgFBbhQP/black#40
1070,3512,3512,05lR7,3r2k1/p4p2/p3bp1p/4p3/3rP1PN/P6P/1PP2P2/1K1RR3 w - - 3 21,h4f5 d4d1 e1d1 d8d1,931,87,88,48,endgame mate mateIn2 queensideAttack short,https://lichess.org/y45003ds#41
1078,3553,3553,05p0a,2r3k1/1p3pp1/p7/3P3p/P4R1P/1P3bB1/3R1P2/5qK1 w - - 0 30,g1f1 c8c1 d2d1 c1d1,802,103,92,102,endgame mate mateIn2 short,https://lichess.org/aWlIqr3d#59
1079,3558,3558,05psn,6k1/5p2/6pp/K1R2r2/1P6/8/8/8 b - - 1 43,h6h5 c5f5 g6f5 b4b5 f5f4 b5b6 g8g7 b6b7,633,82,100,314,advancedPawn crushing endgame quietMove rookEndgame veryLong,https://lichess.org/nza0eDYS/black#86
1097,3616,3616,05vPg,1r4rk/pp3p1p/n1p5/5QN1/2P4P/3P4/Pq4B1/5R1K b - - 1 28,b2g7 g5f7 g7f7 f5f7,1500,500,100,2,crushing middlegame short,https://lichess.org/x0T7MHeh/black#56
1104,3665,3665,061gS,2r2r1k/1p2q1pp/5b2/1PPQNb2/2B5/8/5BPP/4R1K1 b - - 0 29,f5e6 d5e6 e7e6 c4e6,1500,500,100,1,crushing middlegame short,https://lichess.org/TPkJ6rS8/black#58
1107,3677,3677,062Yu,6k1/p4pp1/1p6/1B2p3/P3P3/3nPPRp/r6P/5K2 b - - 2 36,a2h2 b5d3 h2d2 d3e2 h3h2 g3h3,1898,75,87,538,advantage endgame hangingPiece long quietMove,https://lichess.org/naHvRJBu/black#72
1124,3762,3762,06Avi,r4rk1/1p1q1pbp/3p4/3NPp2/3Q4/5P2/PP4PP/2KR3R b - - 0 20,g7e5 d4e5 d6e5 d5f6 g8g7 f6d7,1616,181,88,23,crushing fork long middlegame sacrifice,https://lichess.org/Uqi2ndZ8/black#40
1130,3780,3780,06Cdu,4r1k1/pp2r3/5p2/5p2/1bb2N2/1P4B1/P4PPP/3R1K1R w - - 0 25,b3c4 e7e1 d1e1 e8e1,690,84,76,73,mate mateIn2 middlegame short,https://lichess.org/awODamiQ#49
1131,3784,3784,06Crt,8/6K1/5p1p/1k4nP/4Pp2/5P2/6P1/8 b - - 0 50,b5c4 g7h6 c4d4 h6g7 d4e5 h5h6 e5e6 h6h7 g5h7 g7h7,2527,89,76,52,advancedPawn crushing endgame knightEndgame veryLong,https://lichess.org/kDoocI6H/black#100
1151,3883,3883,06MTw,4r3/2p2k2/1p1pr2p/pP1Rb3/2P1p1PB/P3R2P/5PK1/8 b - - 4 34,e5f4 d5f5 f7g7 f5f4,872,102,84,93,crushing endgame fork short,https://lichess.org/eEWZeDht/black#68
